State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,yield_tons_per_ha,area_percentile,State_Name_enc,Season_enc,Crop_enc
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Banana,198.0,976.0,4.9293,0.3144,0,4,7
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Black pepper,22.16,0.68,0.0307,0.1582,0,4,15
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Cashewnut,450.0,85.13,0.1892,0.4153,0,4,22
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Coconut,14358.0,59370000.0,4134.977,0.7472,0,4,28
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Dry chillies,3.0,9.0,3.0,0.0207,0,4,37
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Dry ginger,6.0,21.0,3.5,0.1518,0,4,38
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Sugarcane,0.2,0.5,2.5,0.0001,0,4,106
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Sweet potato,18.0,86.0,4.7778,0.2663,0,4,108
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Tapioca,52.03,450.0,8.6489,0.3428,0,4,109
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Turmeric,2.5,1.03,0.412,0.1087,0,4,114
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Rice,3.5,10.0,2.8571,0.0095,0,0,95
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Sugarcane,13.4,41.75,3.1157,0.0774,0,0,106
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Arecanut,944.0,1610.0,1.7055,0.3784,0,2,2
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Black pepper,23.0,8.5,0.3696,0.1598,0,2,15
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Cashewnut,1000.5,260.5,0.2604,0.5262,0,2,22
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Dry chillies,12.0,25.0,2.0833,0.0718,0,2,37
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Dry ginger,7.0,9.64,1.3771,0.163,0,2,38
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Maize,3.84,18.22,4.7448,0.0332,0,2,59
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Moong(Green Gram),1.5,1.1,0.7333,0.0094,0,2,63
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Sweet potato,22.0,208.0,9.4545,0.2995,0,2,108
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Turmeric,2.0,0.5,0.25,0.0878,0,2,114
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Urad,1.5,1.16,0.7733,0.0081,0,2,116
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Banana,593.0,3425.0,5.7757,0.4732,0,4,7
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Coconut,14560.0,71300000.0,4896.978,0.7523,0,4,28
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Tapioca,69.0,575.0,8.3333,0.3785,0,4,109
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Arecanut,3100.0,5200.0,1.6774,0.6973,0,1,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Other Kharif pulses,668.0,448.0,0.6707,0.5373,0,1,74
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Rice,10779.0,31863.0,2.956,0.3994,0,1,95
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Banana,1531.0,12073.0,7.8857,0.657,0,4,7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Cashewnut,80.0,54.0,0.675,0.2369,0,4,22
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Coconut,6992.0,23900000.0,3418.1922,0.6614,0,4,28
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Dry ginger,352.0,1120.0,3.1818,0.7556,0,4,38
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,other oilseeds,133.0,55.0,0.4135,0.4848,0,4,123
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Sugarcane,141.0,3736.0,26.4965,0.2597,0,4,106
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Sweet potato,78.0,843.0,10.8077,0.5405,0,4,108
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Tapioca,160.0,2108.0,13.175,0.5152,0,4,109
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Arecanut,3100.0,5239.0,1.69,0.6973,0,1,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Other Kharif pulses,418.0,199.0,0.4761,0.4603,0,1,74
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Rice,9718.0,27033.0,2.7817,0.3831,0,1,95
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Cashewnut,81.0,33.0,0.4074,0.2383,0,4,22
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Coconut,7015.0,25250000.0,3599.4298,0.6619,0,4,28
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Dry ginger,344.0,1124.0,3.2674,0.7499,0,4,38
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Sugarcane,81.0,2379.0,29.3704,0.1907,0,4,106
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Sweet potato,100.0,5.0,0.05,0.6016,0,4,108
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,Rice,6854.3,18995.62,2.7713,0.3323,0,1,95
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Arecanut,1160.0,3011.7,2.5963,0.4142,0,4,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Banana,957.57,8582.0,8.9623,0.5592,0,4,7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Black pepper,175.0,191.14,1.0922,0.4613,0,4,15
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Cashewnut,40.5,44.0,1.0864,0.1919,0,4,22
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Coconut,3575.0,15400000.0,4307.6923,0.5807,0,4,28
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Dry chillies,235.72,824.3,3.4969,0.4488,0,4,37
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Dry ginger,98.66,929.0,9.4162,0.5018,0,4,38
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,other oilseeds,35.62,21.4,0.6008,0.3199,0,4,123
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Sugarcane,71.3,1500.0,21.0379,0.1793,0,4,106
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Sweet potato,30.0,240.0,8.0,0.3523,0,4,108
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Tapioca,255.0,1420.0,5.5686,0.5808,0,4,109
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Turmeric,68.0,408.0,6.0,0.5121,0,4,114
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Rice,6791.0,20118.0,2.9625,0.3309,0,0,95
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Sugarcane,73.33,889.2,12.126,0.1819,0,0,106
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Arecanut,1296.0,2290.0,1.767,0.4496,0,2,2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Arhar/Tur,294.5,90.8,0.3083,0.2667,0,2,3
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Black pepper,168.0,13.5,0.0804,0.4552,0,2,15
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Cashewnut,84.5,39.0,0.4615,0.2406,0,2,22
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Dry chillies,254.0,402.0,1.5827,0.4621,0,2,37
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Dry ginger,110.0,1011.84,9.1985,0.527,0,2,38
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Groundnut,4.75,6.8,1.4316,0.0351,0,2,43
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Maize,86.7,96.4,1.1119,0.1726,0,2,59
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Moong(Green Gram),1168.6,556.55,0.4763,0.6631,0,2,63
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Sunflower,2.9,1.9,0.6552,0.0494,0,2,107
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Sweet potato,109.0,480.0,4.4037,0.6212,0,2,108
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Turmeric,68.0,376.5,5.5368,0.5121,0,2,114
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Urad,1059.5,458.79,0.433,0.536,0,2,116
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Banana,657.0,7968.0,12.1279,0.4901,0,4,7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Coconut,3668.0,12700000.0,3462.3773,0.5843,0,4,28
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Tapioca,186.5,1355.0,7.2654,0.5354,0,4,109
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif,Rice,10695.8,31600.82,2.9545,0.3981,0,1,95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Arecanut,3105.0,5267.0,1.6963,0.6993,0,4,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Banana,1524.0,10882.0,7.1404,0.6556,0,4,7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Black pepper,487.0,102.5,0.2105,0.5874,0,4,15
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Cashewnut,81.0,24.0,0.2963,0.2383,0,4,22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Coconut,7060.0,26830000.0,3800.2833,0.665,0,4,28
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Dry chillies,239.0,20.9,0.0874,0.4509,0,4,37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Dry ginger,352.0,1145.0,3.2528,0.7556,0,4,38
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,other oilseeds,85.1,40.31,0.4737,0.4343,0,4,123
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Sugarcane,455.0,13760.0,30.2418,0.4269,0,4,106
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,Rice,10509.37,30760.7,2.927,0.3956,0,1,95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Arecanut,3118.0,5182.0,1.662,0.7016,0,4,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Banana,1530.0,11558.0,7.5542,0.6564,0,4,7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Black pepper,497.0,104.37,0.21,0.5885,0,4,15
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Cashewnut,116.5,26.14,0.2244,0.2692,0,4,22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Coconut,7110.0,26660000.0,3749.6484,0.6655,0,4,28
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Dry chillies,340.0,578.0,1.7,0.5297,0,4,37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Dry ginger,406.0,1299.2,3.2,0.7819,0,4,38
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,other oilseeds,82.09,35.51,0.4326,0.4293,0,4,123
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Sugarcane,268.0,2879.52,10.7445,0.3534,0,4,106
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif,Rice,10681.98,29119.66,2.7261,0.3977,0,1,95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Arecanut,3160.67,3975.2,1.2577,0.7048,0,4,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Banana,1912.1,17374.4,9.0866,0.7194,0,4,7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Black pepper,570.0,104.36,0.1831,0.5929,0,4,15
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Cashewnut,116.5,25.1,0.2155,0.2692,0,4,22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Coconut,7156.7,34750000.0,4855.5899,0.666,0,4,28
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Dry chillies,340.0,822.8,2.42,0.5297,0,4,37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Dry ginger,410.0,1462.0,3.5659,0.7841,0,4,38
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,other oilseeds,89.3,46.5,0.5207,0.4411,0,4,123
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Sugarcane,145.26,1560.0,10.7394,0.264,0,4,106
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif,Rice,8683.38,25870.98,2.9794,0.3642,0,1,95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Arecanut,3250.78,3058.46,0.9408,0.7087,0,4,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Banana,1656.8,10251.13,6.1873,0.6805,0,4,7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Black pepper,656.45,35.95,0.0548,0.6062,0,4,15
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Cashewnut,118.5,30.22,0.255,0.2715,0,4,22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Coconut,7050.45,26430000.0,3748.6969,0.6639,0,4,28
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Dry chillies,370.7,877.6,2.3674,0.5456,0,4,37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Dry ginger,200.0,1800.0,9.0,0.6446,0,4,38
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,other oilseeds,53.55,34.2,0.6387,0.3822,0,4,123
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Sugarcane,128.02,2448.2,19.1236,0.2495,0,4,106
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Sweet potato,131.9,700.35,5.3097,0.6679,0,4,108
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Tapioca,254.5,1480.0,5.8153,0.5795,0,4,109
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Turmeric,81.7,572.0,7.0012,0.5379,0,4,114
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif,Rice,921.87,2539.64,2.7549,0.1471,0,1,95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Arecanut,2000.0,2350.0,1.175,0.5683,0,4,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Banana,483.0,4150.0,8.5921,0.4319,0,4,7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Black pepper,413.1,20.18,0.0489,0.5785,0,4,15
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Cashewnut,79.5,26.0,0.327,0.236,0,4,22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Coconut,3483.09,14190000.0,4073.9688,0.5761,0,4,28
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Dry chillies,124.6,34.7,0.2785,0.3208,0,4,37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Dry ginger,100.9,900.0,8.9197,0.5082,0,4,38
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,other oilseeds,24.0,14.98,0.6242,0.2593,0,4,123
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Sugarcane,53.5,999.5,18.6822,0.156,0,4,106
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Sweet potato,30.4,220.0,7.2368,0.3569,0,4,108
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Tapioca,40.0,160.0,4.0,0.3141,0,4,109
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Turmeric,10.0,60.0,6.0,0.2612,0,4,114
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,Rice,1595.5,3788.0,2.3742,0.186,0,0,95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,Sugarcane,67.5,402.0,5.9556,0.1743,0,0,106
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Arecanut,1912.0,1900.0,0.9937,0.5585,0,2,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Arhar/Tur,20.5,13.2,0.6439,0.054,0,2,3
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Black pepper,409.0,98.0,0.2396,0.5774,0,2,15
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Cashewnut,15.0,10.5,0.7,0.1213,0,2,22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Dry chillies,128.0,148.0,1.1562,0.3267,0,2,37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Dry ginger,94.0,828.52,8.814,0.4958,0,2,38
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Groundnut,15.5,7.6,0.4903,0.0824,0,2,43
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Maize,73.0,253.0,3.4658,0.16,0,2,59
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Moong(Green Gram),29.9,17.85,0.597,0.1537,0,2,63
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Sunflower,1.0,0.5,0.5,0.0139,0,2,107
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Sweet potato,32.0,235.0,7.3438,0.3646,0,2,108
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Turmeric,10.0,105.0,10.5,0.2612,0,2,114
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Urad,34.0,15.05,0.4426,0.1382,0,2,116
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,Banana,360.0,5517.0,15.325,0.3872,0,4,7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,Coconut,3540.0,11000000.0,3107.3446,0.5802,0,4,28
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,Tapioca,22.5,220.0,9.7778,0.2298,0,4,109
Andhra Pradesh,ANANTAPUR,1997,Kharif,Arhar/Tur,21400.0,2600.0,0.1215,0.9131,1,1,3
Andhra Pradesh,ANANTAPUR,1997,Kharif,Bajra,1400.0,500.0,0.3571,0.4839,1,1,6
Andhra Pradesh,ANANTAPUR,1997,Kharif,Castor seed,1000.0,100.0,0.1,0.7625,1,1,25
Andhra Pradesh,ANANTAPUR,1997,Kharif,Cotton(lint),7300.0,9400.0,1.2877,0.6166,1,1,33
Andhra Pradesh,ANANTAPUR,1997,Kharif,Dry chillies,3700.0,7100.0,1.9189,0.9115,1,1,37
Andhra Pradesh,ANANTAPUR,1997,Kharif,Groundnut,650800.0,228400.0,0.351,0.9984,1,1,43
Andhra Pradesh,ANANTAPUR,1997,Kharif,Horse-gram,3300.0,1000.0,0.303,0.7991,1,1,45
Andhra Pradesh,ANANTAPUR,1997,Kharif,Jowar,10100.0,10200.0,1.0099,0.7072,1,1,48
Andhra Pradesh,ANANTAPUR,1997,Kharif,Korra,2200.0,700.0,0.3182,0.9206,1,1,53
Andhra Pradesh,ANANTAPUR,1997,Kharif,Maize,2800.0,4900.0,1.75,0.6051,1,1,59
Andhra Pradesh,ANANTAPUR,1997,Kharif,Moong(Green Gram),1300.0,500.0,0.3846,0.6764,1,1,63
